LakeID,LakeName2,LakeName,Len
1,BANANA_LAKE,BANANA LAKE,11
2,BIG_LAKE_JOHNSON,BIG LAKE JOHNSON,16
3,BIRD_POND,BIRD POND,9
4,BLUE_POND,BLUE POND,9
5,BOWERS_LAKE,BOWERS LAKE,11
6,CLEAR_LAKE,CLEAR LAKE,10
7,COON_POND,COON POND,9
8,COW_POND,COW POND,8
9,COWPEN_LAKE,COWPEN LAKE,11
10,DAVIS_LAKE,DAVIS LAKE,10
11,DEEP_LAKE,DEEP LAKE,9
12,DREAM_POND,DREAM POND,10
13,DRUDY_LAKE,DRUDY LAKE,10
14,ECHO_LAKE,ECHO LAKE,9
15,GEORGES_LAKE,GEORGES LAKE,12
16,GORE_LAKE,GORE LAKE,9
17,HALFMOON_LAKE,HALFMOON LAKE,13
18,HOKEY_LAKE,HOKEY LAKE,10
19,HOPKINS_PRAIRIE,HOPKINS PRAIRIE,15
20,INDIAN_LAKE,INDIAN LAKE,11
21,LAKE_ARGENTA,LAKE ARGENTA,12
22,LAKE_BELL,LAKE BELL,9
23,LAKE_BROOKLYN,LAKE BROOKLYN,13
24,LAKE_BROWARD,LAKE BROWARD,12
25,LAKE_CHARLES,LAKE CHARLES,12
26,LAKE_COMO,LAKE COMO,9
27,LAKE_CRYSTAL_IDA_BAKER,LAKE CRYSTAL IDA BAKER,22
28,LAKE_DAUGHARTY,LAKE DAUGHARTY,14
29,LAKE_DIAS,LAKE DIAS,9
30,LAKE_DISSTON,LAKE DISSTON,12
31,LAKE_DORA,LAKE DORA,9
32,LAKE_DORR,LAKE DORR,9
33,LAKE_EMPORIA,LAKE EMPORIA,12
34,LAKE_ENGLISH/NETTLES,LAKE ENGLISH/NETTLES,20
35,LAKE_ESTELLA,LAKE ESTELLA,12
36,LAKE_EUSTIS,LAKE EUSTIS,11
37,LAKE_GENEVA,LAKE GENEVA,11
38,LAKE_GERTIE,LAKE GERTIE,11
39,LAKE_GRANDIN,LAKE GRANDIN,12
40,LAKE_GRIFFEN,LAKE GRIFFEN,12
41,LAKE_HARRIS,LAKE HARRIS,11
42,LAKE_HIRES,LAKE HIRES,10
43,LAKE_HOWELL,LAKE HOWELL,11
44,LAKE_KERR,LAKE KERR,9
45,LAKE_LIZZIE,LAKE LIZZIE,11
46,LAKE_MARGARET,LAKE MARGARET,13
47,LAKE_MARVIN,LAKE MARVIN,11
48,LAKE_McGRADY,LAKE McGRADY,12
49,LAKE_McKASEL,LAKE McKASEL,12
50,LAKE_MELROSE,LAKE MELROSE,12
51,LAKE_NORRIS,LAKE NORRIS,11
52,LAKE_OMEGA,LAKE OMEGA,10
53,LAKE_ORIO,LAKE ORIO,9
54,LAKE_PAM,LAKE PAM,8
55,LAKE_PIERSON,LAKE PIERSON,12
56,LAKE_PRIOR,LAKE PRIOR,10
57,LAKE_PURDOM/INEZ,LAKE PURDOM/INEZ,16
58,LAKE_SAND,LAKE SAND,9
59,LAKE_SAUNDERS,LAKE SAUNDERS,13
60,LAKE_STELLA,LAKE STELLA,11
61,LAKE_TARHOE,LAKE TARHOE,11
62,LAKE_TRONE,LAKE TRONE,10
63,LAKE_WEIR,LAKE WEIR,9
64,LAKE_WINONA,LAKE WINONA,11
65,LAKE_YALE,LAKE YALE,9
66,LITTLE_LAKE_COMO,LITTLE LAKE COMO,16
67,LITTLE_LAKE_MALL,LITTLE LAKE MALL,16
68,LOWER_LAKE_LOUISE,LOWER LAKE LOUISE,17
69,LOWRY/SANDHILL_LAKE,LOWRY/SANDHILL LAKE,19
70,MAGNOLIA_LAKE,MAGNOLIA LAKE,13
71,NICOTOON_LAKE,NICOTOON LAKE,13
72,NORTH_COMO_PARK_LAKE,NORTH COMO PARK LAKE,20
73,PEBBLE_LAKE,PEBBLE LAKE,11
74,SCOGGIN_LAKE,SCOGGIN LAKE,12
75,SHAW_LAKE,SHAW LAKE,9
76,SILVER_LAKE,SILVER LAKE,11
77,SMITH_LAKE,SMITH LAKE,10
78,SOUTH_COMO_PARK_LAKE,SOUTH COMO PARK LAKE,20
79,STAR_LAKE,STAR LAKE,9
80,SUNSET_LAKE,SUNSET LAKE,11
81,SWAN_LAKE,SWAN LAKE,9
82,TUSCAWILLA_LAKE,TUSCAWILLA LAKE,15
83,UPPER_LAKE_LOUISE,UPPER LAKE LOUISE,17
84,WAUBERG_LAKE,WAUBERG LAKE,12
